mp_index,battery_formula,formula_discharge,framework_formula,preliminary_family,cv_group,average_voltage,target,protocol,model,y_true,y_pred_oof,abs_error,capacity_grav,energy_grav,stability_worst,target_property,best_model
67,Na0-1VPO5,NaVPO5,VPO5,phosphate_or_NASICON_like,VPO5,,capacity_grav,C_strict_post_DFT,ExtraTrees,144.9496306764634,143.25344076051448,1.6961899159489349,144.9496306764634,,,capacity_grav,ExtraTrees
68,Na0-1Cr3O8,NaCr3O8,Cr3O8,transition_metal_oxide_like,Cr3O8,,capacity_grav,C_strict_post_DFT,ExtraTrees,87.30884356226281,84.52310349877966,2.7857400634831464,87.30884356226281,,,capacity_grav,ExtraTrees
69,Na0-1V2O5,NaV2O5,V2O5,transition_metal_oxide_like,V2O5,,capacity_grav,C_strict_post_DFT,ExtraTrees,130.82203996985868,131.75328181882372,0.931241848965044,130.82203996985868,,,capacity_grav,ExtraTrees
70,Na0-1Mo(PO4)2,NaMo(PO4)2,Mo(PO4)2,phosphate_or_NASICON_like,Mo(PO4)2,,capacity_grav,C_strict_post_DFT,ExtraTrees,86.77199080031944,75.47850319644557,11.29348760387387,86.77199080031944,,,capacity_grav,ExtraTrees
71,Na0-1VP2O7,NaVP2O7,VP2O7,phosphate_or_NASICON_like,VP2O7,,capacity_grav,C_strict_post_DFT,ExtraTrees,108.12516438539888,107.92296639011477,0.2021979952841093,108.12516438539888,,,capacity_grav,ExtraTrees
72,Na0-1VP2O7,NaVP2O7,VP2O7,phosphate_or_NASICON_like,VP2O7,,capacity_grav,C_strict_post_DFT,ExtraTrees,108.12516438539888,107.36449335682713,0.7606710285717497,108.12516438539888,,,capacity_grav,ExtraTrees
73,Na1-3VPCO7,Na3VPCO7,VPCO7,phosphate_or_NASICON_like,VPCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,194.99710311407105,183.4050289704524,11.592074143618646,194.99710311407105,,,capacity_grav,ExtraTrees
74,Na0-1V2P2O9,NaV2P2O9,V2P2O9,phosphate_or_NASICON_like,V2P2O9,,capacity_grav,C_strict_post_DFT,ExtraTrees,81.0165494051057,80.78920446875195,0.2273449363537594,81.0165494051057,,,capacity_grav,ExtraTrees
75,Na1-2V(PO4)2,Na2V(PO4)2,V(PO4)2,phosphate_or_NASICON_like,V(PO4)2,,capacity_grav,C_strict_post_DFT,ExtraTrees,93.4293021404477,117.6189252928013,24.18962315235359,93.4293021404477,,,capacity_grav,ExtraTrees
76,Na0-1Cr(GeO3)2,NaCr(GeO3)2,Cr(GeO3)2,transition_metal_oxide_like,Cr(GeO3)2,,capacity_grav,C_strict_post_DFT,ExtraTrees,84.74447870869932,83.75092944904017,0.9935492596591472,84.74447870869932,,,capacity_grav,ExtraTrees
77,Na1-2BiPCO7,Na2BiPCO7,BiPCO7,phosphate_or_NASICON_like,BiPCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,65.37900188552294,75.70849841720114,10.329496531678204,65.37900188552294,,,capacity_grav,ExtraTrees
78,Na0-1V2O5,NaV2O5,V2O5,transition_metal_oxide_like,V2O5,,capacity_grav,C_strict_post_DFT,ExtraTrees,130.82203996985868,130.06538348746065,0.7566564823980286,130.82203996985868,,,capacity_grav,ExtraTrees
79,Na0-3Mo4P5O24,Na3Mo4P5O24,Mo4P5O24,phosphate_or_NASICON_like,Mo4P5O24,,capacity_grav,C_strict_post_DFT,ExtraTrees,81.08689361220995,75.82160919029775,5.265284421912199,81.08689361220995,,,capacity_grav,ExtraTrees
80,Na1-2NdPCO7,Na2NdPCO7,NdPCO7,phosphate_or_NASICON_like,NdPCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,77.64003867269946,81.70577222094407,4.065733548244609,77.64003867269946,,,capacity_grav,ExtraTrees
81,Na2-3CrSiCO7,Na3CrSiCO7,CrSiCO7,silicate_like,CrSiCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,98.15328343360096,102.48301487081837,4.32973143721739,98.15328343360096,,,capacity_grav,ExtraTrees
82,Na0-1MoP2O7,NaMoP2O7,MoP2O7,phosphate_or_NASICON_like,MoP2O7,,capacity_grav,C_strict_post_DFT,ExtraTrees,91.51226848872884,77.33805780212249,14.174210686606344,91.51226848872884,,,capacity_grav,ExtraTrees
83,Na0-1V(SiO3)2,NaV(SiO3)2,V(SiO3)2,silicate_like,V(SiO3)2,,capacity_grav,C_strict_post_DFT,ExtraTrees,118.538871682491,116.3777625826844,2.161109099806609,118.538871682491,,,capacity_grav,ExtraTrees
84,Na0-1Mo2P3O13,NaMo2P3O13,Mo2P3O13,phosphate_or_NASICON_like,Mo2P3O13,,capacity_grav,C_strict_post_DFT,ExtraTrees,51.96268174858514,49.83090581313446,2.131775935450684,51.96268174858514,,,capacity_grav,ExtraTrees
85,Na1-3SiSbCO7,Na3SiSbCO7,SiSbCO7,silicate_like,SiSbCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,156.3583157314863,131.72543218007448,24.632883551411823,156.3583157314863,,,capacity_grav,ExtraTrees
86,Na1-2V3P2O13,Na2V3P2O13,V3P2O13,phosphate_or_NASICON_like,V3P2O13,,capacity_grav,C_strict_post_DFT,ExtraTrees,57.17725394145005,69.68286060705479,12.505606665604745,57.17725394145005,,,capacity_grav,ExtraTrees
87,Na0-1Mo2P3O13,NaMo2P3O13,Mo2P3O13,phosphate_or_NASICON_like,Mo2P3O13,,capacity_grav,C_strict_post_DFT,ExtraTrees,51.96268174858514,49.300789166605,2.6618925819801404,51.96268174858514,,,capacity_grav,ExtraTrees
88,Na0-0.5VO2,NaV2O4,VO2,transition_metal_oxide_like,VO2,,capacity_grav,C_strict_post_DFT,ExtraTrees,141.90410728551464,141.22524243719144,0.6788648483232009,141.90410728551464,,,capacity_grav,ExtraTrees
89,Na0-0.67V2O5,Na2V6O15,V2O5,transition_metal_oxide_like,V2O5,,capacity_grav,C_strict_post_DFT,ExtraTrees,90.60377285915408,92.52562746345352,1.9218546042994404,90.60377285915408,,,capacity_grav,ExtraTrees
90,Na0-1Mo2P2O9,NaMo2P2O9,Mo2P2O9,phosphate_or_NASICON_like,Mo2P2O9,,capacity_grav,C_strict_post_DFT,ExtraTrees,63.68993265960454,71.9809021671278,8.290969507523258,63.68993265960454,,,capacity_grav,ExtraTrees
91,Na0-1V2O5,NaV2O5,V2O5,transition_metal_oxide_like,V2O5,,capacity_grav,C_strict_post_DFT,ExtraTrees,130.82203996985868,138.15733776623574,7.335297796377063,130.82203996985868,,,capacity_grav,ExtraTrees
92,Na0-0.25CrO2,NaCr4O8,CrO2,transition_metal_oxide_like,CrO2,,capacity_grav,C_strict_post_DFT,ExtraTrees,74.66230670076601,78.44721851680595,3.784911816039937,74.66230670076601,,,capacity_grav,ExtraTrees
93,Na4-6Bi2B4SO16,Na6Bi2B4SO16,Bi2B4SO16,sulfate_like,Bi2B4SO16,,capacity_grav,C_strict_post_DFT,ExtraTrees,60.418207670445774,65.58814725303189,5.169939582586117,60.418207670445774,,,capacity_grav,ExtraTrees
94,Na0-1V(GeO3)2,NaV(GeO3)2,V(GeO3)2,transition_metal_oxide_like,V(GeO3)2,,capacity_grav,C_strict_post_DFT,ExtraTrees,85.02801091922686,85.45749018667121,0.4294792674443499,85.02801091922686,,,capacity_grav,ExtraTrees
95,Na2-6Bi2C4SO16,Na6Bi2C4SO16,Bi2C4SO16,sulfate_like,Bi2C4SO16,,capacity_grav,C_strict_post_DFT,ExtraTrees,120.1863353633842,92.44146771634536,27.74486764703883,120.1863353633842,,,capacity_grav,ExtraTrees
96,Na2-3SiBiCO7,Na3SiBiCO7,SiBiCO7,silicate_like,SiBiCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,62.322980903367565,68.57136807614016,6.248387172772596,62.322980903367565,,,capacity_grav,ExtraTrees
97,Na1-2VCSO7,Na2VCSO7,VCSO7,sulfate_like,VCSO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,105.93783238792088,113.04955251307908,7.1117201251582,105.93783238792088,,,capacity_grav,ExtraTrees
98,Na4-6Cr2P(CO4)4,Na6Cr2P(CO4)4,Cr2P(CO4)4,phosphate_or_NASICON_like,Cr2P(CO4)4,,capacity_grav,C_strict_post_DFT,ExtraTrees,92.9094338496565,92.9273842662558,0.0179504165993051,92.9094338496565,,,capacity_grav,ExtraTrees
99,Na2-3BiBPO7,Na3BiBPO7,BiBPO7,phosphate_or_NASICON_like,BiBPO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,62.079226354215486,60.68323968721392,1.3959866670015657,62.079226354215486,,,capacity_grav,ExtraTrees
100,Na4-6V2P(CO4)4,Na6V2P(CO4)4,V2P(CO4)4,phosphate_or_NASICON_like,V2P(CO4)4,,capacity_grav,C_strict_post_DFT,ExtraTrees,93.25034344511644,94.34010395279756,1.089760507681106,93.25034344511644,,,capacity_grav,ExtraTrees
101,Na2-3VBPO7,Na3VBPO7,VBPO7,phosphate_or_NASICON_like,VBPO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,97.92592715302656,101.25657985598755,3.3306527029609896,97.92592715302656,,,capacity_grav,ExtraTrees
102,Na2-3SiBiBO7,Na3SiBiBO7,SiBiBO7,silicate_like,SiBiBO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,62.49733154724774,60.84680857810389,1.65052296914385,62.49733154724774,,,capacity_grav,ExtraTrees
103,Na1-2CrCSO7,Na2CrCSO7,CrCSO7,sulfate_like,CrCSO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,105.49806345893565,136.10612010142967,30.60805664249402,105.49806345893565,,,capacity_grav,ExtraTrees
104,Na0-2V6O13,Na2V6O13,V6O13,transition_metal_oxide_like,V6O13,,capacity_grav,C_strict_post_DFT,ExtraTrees,95.78444578136504,97.23556049515857,1.4511147137935296,95.78444578136504,,,capacity_grav,ExtraTrees
105,Na4-6V2C4SO16,Na6V2C4SO16,V2C4SO16,sulfate_like,V2C4SO16,,capacity_grav,C_strict_post_DFT,ExtraTrees,93.07365510151392,93.85891827842312,0.7852631769092113,93.07365510151392,,,capacity_grav,ExtraTrees
106,Na0-1Mo2(PO4)3,NaMo2(PO4)3,Mo2(PO4)3,phosphate_or_NASICON_like,Mo2(PO4)3,,capacity_grav,C_strict_post_DFT,ExtraTrees,53.626144306619445,50.897050093646136,2.729094212973308,53.626144306619445,,,capacity_grav,ExtraTrees
